05.04.2017 07:00;5.4;714.9;94;0.0;0;;4.5;;0;20.4;
06.04.2017 07:00;6.8;711.5;97;3.7;2;;6.4;;0;13.9;
07.04.2017 07:00;8.8;712.1;96;6.0;5;;8.2;;0;14.0;
08.04.2017 07:00;7.6;714.7;94;0.0;0;;6.7;;0;13.0;
09.04.2017 07:00;8.4;716.2;97;0.0;0;;8.0;;0;17.1;
10.04.2017 07:00;8.5;718.1;100;0.0;0;;8.5;;0;19.0;
11.04.2017 07:00;7.0;715.4;94;0.0;0;;6.1;;0;19.5;
12.04.2017 07:00;5.8;715.7;97;0.0;0;;5.3;;0;21.0;
13.04.2017 07:00;7.4;714.5;94;0.0;0;;6.5;;0;24.2;
14.04.2017 07:00;9.2;714.0;90;0.0;0;;7.7;;0;26.6;
15.04.2017 07:00;10.0;714.0;86;0.0;0;;7.8;;0;26.4;
16.04.2017 07:00;13.4;714.6;88;4.0;1;;11.5;;0;21.5;
17.04.2017 07:00;7.3;714.6;93;0.0;0;;6.2;;0;24.5;
18.04.2017 07:00;11.1;711.7;81;4.0;1;;7.9;;0;26.0;
19.04.2017 07:00;11.4;711.1;92;4.0;2;;10.2;;0;21.7;
20.04.2017 07:00;9.6;713.9;91;4.0;1;;8.2;;0;14.6;
21.04.2017 07:00;8.9;716.6;83;4.0;1;;6.2;;0;17.2;
22.04.2017 07:00;7.4;711.0;94;4.0;1;;6.5;;0;19.5;
23.04.2017 07:00;8.9;714.8;63;4.0;1;;2.2;;0;22.3;
24.04.2017 07:00;8.5;712.2;75;0.0;0;;4.3;;0;25.9;
25.04.2017 07:00;10.3;710.2;77;0.0;0;;6.4;;0;27.4;
26.04.2017 07:00;14.0;708.1;73;5.0;1;;9.2;;0;27.5;
27.04.2017 07:00;15.3;708.0;96;7.0;3;;14.6;;0;26.8;
28.04.2017 07:00;14.0;709.3;90;6.0;1;;12.3;;0;17.0;
29.04.2017 07:00;10.3;711.1;92;1.0;2;;9.1;;0;20.8;
30.04.2017 07:00;11.6;712.0;94;0.0;0;;10.6;;0;22.3;
01.05.2017 07:00;11.8;713.5;85;4.0;3;;9.3;;0;18.0;
02.05.2017 07:00;11.0;712.8;94;0.0;0;;10.0;;0;21.0;
03.05.2017 07:00;9.8;713.1;95;0.0;0;;9.0;;0;26.9;
04.05.2017 07:00;15.0;710.9;81;4.0;1;;11.8;;0;30.0;
05.05.2017 07:00;22.0;710.6;45;7.0;3;;9.5;;0;33.2;
06.05.2017 07:00;17.6;712.9;65;2.8;2;;11.0;;0;24.0;
07.05.2017 07:00;12.0;714.2;87;0.0;0;;9.8;;0;24.5;
08.05.2017 07:00;10.2;714.0;75;0.0;0;;6.0;;0;24.4;
09.05.2017 07:00;10.1;710.7;80;0.0;0;;6.8;;0;29.1;
10.05.2017 07:00;19.0;706.6;54;2.6;2;;9.5;;0;29.0;
11.05.2017 07:00;17.7;704.8;61;4.0;4;;10.0;;0;26.4;
12.05.2017 07:00;14.0;707.7;79;0.0;0;;10.3;;0;23.5;
